Jam_Belajar,Kehadiran,Keterlibatan_Orang_Tua,Akses_Sumber_Daya,Kegiatan_Ekstrakurikuler,Jam_Tidur,Nilai_Sebelumnya,Tingkat_Motivasi,Akses_Internet,Sesi_Bimbingan,Pendapatan_Keluarga,Kualitas_Guru,Jenis_Sekolah,Pengaruh_Teman,Aktivitas_Fisik,Kesulitan_Belajar,Pendidikan_Orang_Tua,Jarak_dari_Rumah,Jenis_Kelamin,Nilai_Ujian
23,84,Rendah,Tinggi,Tidak,7,73,Rendah,Ya,0,Rendah,Sedang,Negeri,Positif,3,Tidak,SMA,Dekat,Laki-laki,67
19,64,Rendah,Sedang,Tidak,8,59,Rendah,Ya,2,Sedang,Sedang,Negeri,Negatif,4,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Perempuan,61
24,98,Sedang,Sedang,Ya,7,91,Sedang,Ya,2,Sedang,Sedang,Negeri,,4,Tidak,Pascasarjana,Dekat,Laki-laki,74
29,89,Rendah,,Ya,8,98,Sedang,Ya,1,Sedang,Sedang,Negeri,Negatif,4,Tidak,SMA,Sedang/Jarak Sedang,Laki-laki,71
19,92,Sedang,Sedang,Ya,6,65,Sedang,Ya,3,Sedang,Tinggi,Negeri,Netral,4,Tidak,Perguruan Tinggi,Dekat,Perempuan,
200,88,Sedang,Sedang,Ya,8,89,,Ya,3,Sedang,,Negeri,Positif,3,Tidak,,,Laki-laki,71
29,84,Sedang,Rendah,Ya,7,68,Rendah,Ya,1,Rendah,Sedang,Swasta,Netral,2,Tidak,High School,Sedang/Jarak Sedang,M@le,67
25,78,Rendah,Tinggi,Ya,6,50,Sedang,Ya,1,Tinggi,Tinggi,Negeri,negative,2,Tidak,High School,Jauh,MALE,66
17,,Sedang,Tinggi,Tidak,6,80,Tinggi,Ya,0,Sedang,,Swasta,Netral,1,Tidak,college,Dekat,Laki-laki,69
23,98,Sedang,Sedang,Ya,8,71,,Ya,0,Tinggi,,Negeri,Positif,5,Tidak,,,Laki-laki,72
17,80,Rendah,Tinggi,Tidak,-3,88,Sedang,Tidak,4,Sedang,Tinggi,Swasta,neutral,4,Tidak,COLLEGE,Moder@te,Laki-laki,68
17,97,Sedang,Tinggi,Ya,6,87,Rendah,Ya,2,Rendah,Tinggi,Swasta,Netral,2,Tidak,High School,Dekat,Laki-laki,71
21,,Sedang,Sedang,Ya,8,97,Rendah,Ya,2,Sedang,Sedang,Negeri,Positif,4,Tidak,,Dekat,Laki-laki,70
9,82,Sedang,Sedang,Ya,8,72,Sedang,Ya,2,Sedang,Sedang,Priv@te,Positif,3,Tidak,Pascasarjana,Dekat,Laki-laki,66
10,,Sedang,Tinggi,Ya,8,74,Sedang,,1,,Sedang,Priv@te,NEUTRAL,4,Tidak,POSTGRADUATE,Dekat,Laki-laki,65
17,68,Sedang,Sedang,Tidak,8,70,Sedang,Ya,2,Sedang,Sedang,Swasta,Positif,4,Tidak,HIGH SCHOOL,Dekat,Laki2,
14,60,Sedang,Rendah,Ya,10,65,Rendah,Ya,0,,Sedang,Swasta,positive,3,,Perguruan Tinggi,Dekat,M@le,60
22,70,Rendah,Sedang,Ya,6,82,Sedang,Ya,1,Rendah,Tinggi,Negeri,Netral,3,Tidak,SMA,Dekat,Perempuan,65
15,80,Sedang,,Ya,9,91,Rendah,Ya,3,Rendah,Sedang,Negeri,Positif,2,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,FEMALE,67
12,75,Sedang,Tinggi,Ya,7,58,Sedang,Ya,3,Sedang,Sedang,Swasta,positive,4,Tidak,Perguruan Tinggi,Dekat,Laki-laki,66
29,78,Sedang,Sedang,Tidak,5,99,Tinggi,Ya,0,Tinggi,,Negeri,Negatif,1,Tidak,High School,Sedang/Jarak Sedang,Perempuan,999
19,99,Sedang,Tinggi,Tidak,6,84,Sedang,Ya,1,Sedang,Tinggi,Negeri,Netral,,Tidak,High School,Dekat,Laki-laki,72
20,74,Sedang,Tinggi,Tidak,8,89,Rendah,Ya,1,Sedang,Sedang,public,Negatif,2,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Perempuan,66
11,78,Tinggi,Sedang,Ya,8,,Tinggi,Ya,1,Rendah,Sedang,public,neutral,3,Tidak,SMA,Sedang/Jarak Sedang,Laki-laki,66
17,65,Rendah,Tinggi,Ya,5,75,Sedang,Ya,2,Rendah,Sedang,Negeri,Positif,,Tidak,SMA,Ne@r,Perempuan,63
21,62,Tinggi,Rendah,Ya,6,54,Tinggi,Ya,0,Tinggi,Tinggi,Publik,positive,3,Tidak,postgraduate,Jauh,MALE,64
13,91,,Sedang,Tidak,,90,Sedang,Ya,1,Tinggi,Sedang,Negeri,Negatif,2,Ya,SMA,Moder@te,Perempuan,65
22,83,Tinggi,Tinggi,Ya,6,,Sedang,Ya,0,Tinggi,Sedang,public,Netral,2,Tidak,Perguruan Tinggi,Moder@te,MALE,
,90,Sedang,Sedang,,4,58,Sedang,Ya,1,Rendah,Sedang,Negeri,Netral,3,Tidak,High School,Sedang/Jarak Sedang,Perempuan,66
18,66,Tinggi,Tinggi,,4,51,Rendah,Ya,2,Rendah,Sedang,Priv@te,neutral,,Tidak,college,Dekat,Laki-laki,64
16,83,Rendah,Sedang,Tidak,6,57,Sedang,Ya,,Tinggi,Rendah,public,positive,4,Ya,High School,Dekat,Perempuan,63
31,70,Sedang,,Ya,7,66,Sedang,Ya,1,Tinggi,Sedang,Negeri,Negatif,3,Tidak,college,Dekat,Laki-laki,69
20,69,Sedang,Sedang,Ya,8,96,Sedang,Ya,2,Sedang,Tinggi,public,POSITIVE,,Tidak,SMA,Dekat,Laki-laki,67
14,60,Tinggi,Sedang,Tidak,5,50,Sedang,Ya,2,Sedang,Sedang,Negeri,,3,Tidak,college,,Perempuan,61
25,65,Tinggi,Sedang,Tidak,,90,Sedang,Ya,2,Sedang,Sedang,Negeri,Positif,3,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Perempuan,68
13,72,Rendah,Sedang,Tidak,6,93,Rendah,Ya,1,Rendah,Sedang,Negeri,Negatif,3,Tidak,High School,Dekat,Laki-laki,61
21,65,Sedang,Rendah,Ya,7,91,Rendah,Ya,2,Sedang,Tinggi,Negeri,positive,3,Tidak,High School,F@r,Perempuan,64
8,99,Sedang,Sedang,Tidak,9,54,Rendah,Ya,2,Rendah,Sedang,Negeri,Netral,5,Tidak,Pascasarjana,NEAR,Perempuan,67
12,72,Rendah,Sedang,Ya,8,84,Sedang,Ya,1,Rendah,Sedang,Negeri,Positif,5,Tidak,SMA,Ne@r,Perempuan,63
21,65,Rendah,Sedang,Ya,6,,Rendah,Ya,1,Sedang,Tinggi,Negeri,NEGATIVE,4,Tidak,,Ne@r,M@le,64
24,68,Tinggi,Sedang,Tidak,8,56,Rendah,Ya,3,Tinggi,Tinggi,,neutral,1,Tidak,Perguruan Tinggi,Dekat,Laki-laki,67
21,84,Sedang,Sedang,Ya,6,52,Rendah,Ya,1,Sedang,Tinggi,public,Netral,2,Ya,Perguruan Tinggi,Jauh,Perempuan,65
19,63,,Tinggi,,7,94,Sedang,Ya,1,Sedang,Sedang,PRIVATE,Positif,3,Tidak,SMA,Sedang/Jarak Sedang,Laki-laki,64
18,94,Sedang,Tinggi,Ya,7,82,Sedang,Ya,3,Sedang,Sedang,Priv@te,Negatif,2,Ya,COLLEGE,Dekat,Laki-laki,70
11,98,Sedang,Sedang,Ya,9,82,Rendah,Ya,,Sedang,Sedang,,Positif,3,Tidak,Pascasarjana,FAR,Laki-laki,68
16,70,Sedang,Sedang,Ya,8,98,,Ya,2,Sedang,,public,positive,3,Tidak,,,Laki-laki,65
17,78,Sedang,Sedang,Ya,6,88,Sedang,Ya,1,Sedang,Tinggi,Swasta,positive,3,Tidak,Perguruan Tinggi,Dekat,Perempuan,68
26,61,Sedang,Rendah,Ya,6,70,Sedang,,2,Rendah,Sedang,Negeri,Positif,3,Tidak,High School,Sedang/Jarak Sedang,Perempuan,64
22,86,Rendah,Sedang,Ya,7,72,Rendah,Ya,3,Rendah,Tinggi,Negeri,Positif,2,Tidak,High School,Sedang/Jarak Sedang,Laki-laki,68
9,77,Sedang,Sedang,Tidak,5,57,Sedang,Ya,2,,Tinggi,Negeri,Netral,3,Tidak,High School,Dekat,Laki-laki,63
22,71,Rendah,Sedang,Ya,7,65,Rendah,Ya,1,Sedang,Rendah,Negeri,Positif,4,Tidak,COLLEGE,Sedang/Jarak Sedang,Laki-laki,64
18,68,Tinggi,Sedang,Tidak,7,72,Sedang,Ya,0,,,public,neutral,3,Tidak,Perguruan Tinggi,Ne@r,Laki-laki,64
16,86,Rendah,Sedang,Ya,8,63,Sedang,Ya,2,Sedang,Sedang,Negeri,Positif,4,Tidak,HIGH SCHOOL,Dekat,M@le,67
24,77,Tinggi,Rendah,Tidak,8,96,Sedang,Ya,0,Sedang,Sedang,,neutral,3,,High School,,Perempuan,67
26,67,Sedang,Tinggi,,7,51,Rendah,Ya,2,Tinggi,Tinggi,PRIVATE,Netral,4,Ya,POSTGRADUATE,Jauh,Perempuan,66
26,88,Sedang,Tinggi,Ya,,79,Sedang,Ya,1,Rendah,Tinggi,Swasta,,4,Tidak,Perguruan Tinggi,Moder@te,M@le,72
15,,Sedang,Tinggi,Tidak,5,89,Rendah,Tidak,1,Sedang,Tinggi,Negeri,neutral,2,Ya,HIGH SCHOOL,Dekat,FEMALE,65
18,,Sedang,Sedang,Ya,6,87,,Ya,1,Sedang,,Negeri,Positif,4,Tidak,,,Laki-laki,71
22,65,,Rendah,Tidak,8,82,Sedang,Ya,2,Sedang,Tinggi,Negeri,Positif,1,Tidak,Pascasarjana,Dekat,Perempuan,66
26,91,Sedang,Rendah,Ya,8,71,Sedang,Ya,0,Rendah,Sedang,PRIVATE,Netral,3,Tidak,High School,MODERATE,M@le,68
17,87,Sedang,Sedang,Tidak,7,96,Sedang,Ya,1,Tinggi,Sedang,Negeri,negative,5,Tidak,Pascasarjana,NEAR,FEMALE,70
,65,Sedang,Sedang,Ya,10,,Rendah,Ya,0,Rendah,Sedang,Negeri,POSITIVE,3,,,Sedang/Jarak Sedang,,62
13,88,Rendah,Tinggi,Ya,9,88,Tinggi,Ya,2,Rendah,Tinggi,Swasta,Negatif,4,Tidak,Pascasarjana,Jauh,Laki-laki,
13,78,Sedang,Tinggi,Ya,9,96,Tinggi,Ya,2,Rendah,Sedang,Negeri,Netral,3,Tidak,Perguruan Tinggi,,Laki-laki,67
25,98,Rendah,Tinggi,Ya,8,56,Sedang,Tidak,0,Sedang,Tinggi,Swasta,Netral,3,Tidak,Pascasarjana,NEAR,Laki-laki,71
28,66,Sedang,Tinggi,Ya,8,97,Sedang,Ya,0,Sedang,,Negeri,Netral,2,Tidak,SMA,Dekat,Laki-laki,68
20,86,Sedang,Sedang,Ya,,89,Sedang,Ya,1,Rendah,Sedang,Negeri,negative,3,Tidak,Postgr@du@te,Dekat,Laki-laki,69
26,75,Rendah,Tinggi,Ya,4,81,Tinggi,Ya,3,Sedang,Tinggi,Swasta,Positif,2,Tidak,High School,Sedang/Jarak Sedang,M@le,70
22,98,Sedang,Tinggi,Tidak,5,69,Rendah,Tidak,1,Rendah,Tinggi,Negeri,Negatif,4,Tidak,SMA,Sedang/Jarak Sedang,Perempuan,69
16,73,Sedang,Sedang,Tidak,7,95,Sedang,Ya,1,Rendah,Sedang,Negeri,Negatif,,Tidak,Perguruan Tinggi,Dekat,Laki-laki,65
22,98,Sedang,Rendah,Ya,7,52,Sedang,Tidak,3,Sedang,Sedang,Negeri,POSITIVE,3,Tidak,Perguruan Tinggi,Dekat,Perempuan,70
29,,Sedang,Rendah,Ya,7,72,Sedang,Ya,1,Rendah,Sedang,Negeri,,3,Tidak,SMA,Sedang/Jarak Sedang,Laki-laki,71
,71,Sedang,Sedang,Ya,7,88,Sedang,Ya,1,Rendah,Rendah,Negeri,Netral,4,Tidak,Perguruan Tinggi,Dekat,Perempuan,65
29,92,Rendah,Sedang,Tidak,4,91,Sedang,Ya,2,Sedang,Sedang,Negeri,NEGATIVE,1,Tidak,Pascasarjana,Dekat,Perempuan,72
4,100,Tinggi,Tinggi,Ya,8,60,Tinggi,Ya,0,Sedang,Tinggi,Swasta,positive,4,Tidak,COLLEGE,Sedang/Jarak Sedang,Laki-laki,69
25,70,Sedang,Sedang,,7,52,Sedang,Ya,1,Sedang,Sedang,Negeri,Positif,3,Tidak,Pascasarjana,Dekat,Perempuan,66
21,77,Rendah,Sedang,,7,90,Sedang,Ya,4,Sedang,Sedang,PRIVATE,Netral,3,Tidak,Pascasarjana,Sedang/Jarak Sedang,Laki-laki,68
18,81,,Rendah,Ya,8,71,Sedang,Ya,0,Sedang,Sedang,Negeri,NEUTRAL,3,Tidak,High School,Sedang/Jarak Sedang,FEMALE,65
21,72,Sedang,Sedang,Ya,,57,Sedang,Ya,1,Tinggi,Sedang,public,Netral,5,Ya,college,MODERATE,Laki-laki,64
8,61,Sedang,Sedang,Ya,7,54,Sedang,Ya,,Tinggi,Sedang,Negeri,POSITIVE,3,Tidak,Perguruan Tinggi,NEAR,Laki-laki,60
19,,Sedang,Tinggi,Ya,7,82,Tinggi,Ya,1,Rendah,,,Negatif,2,Tidak,High School,Dekat,Laki-laki,65
